originalWord,translation,description,wordType,article,preposition,kasus,reflexive
kämpfen,бороться,widersetzen,Verb,,gegen,Akkusativ,FALSE
protestieren,протестовать,Widerstand zeigen,Verb,,gegen,Akkusativ,FALSE
stimmen,голосовать,seine Stimme abgeben,Verb,,gegen,Akkusativ,FALSE
tun,делать,etwas unternehmen,Verb,,gegen,Akkusativ,FALSE
verteidigen,защищаться,gegen Angriffe wehren,Verb,,gegen,Akkusativ,TRUE
verstoßen,нарушать,gegen Regeln handeln,Verb,,gegen,Akkusativ,FALSE
votieren,голосовать,gegen etwas stimmen,Verb,,gegen,Akkusativ,FALSE
halten,держаться,an einem Ort bleiben,Verb,,in,Dativ,TRUE
hineinversetzen,вживаться,in jemanden einfühlen,Verb,,in,Akkusativ,TRUE
integrieren,интегрироваться,Teil einer Gruppe werden,Verb,,in,Akkusativ,TRUE
investieren,инвестировать,Geld anlegen,Verb,,in,Akkusativ,FALSE
nachlassen,ослабевать,schwächer werden,Verb,,in,Dativ,FALSE
übereinstimmen,совпадать,die gleiche Meinung haben,Verb,,in,Dativ,FALSE
umrechnen,пересчитывать,in eine andere Währung umwandeln,Verb,,in,Akkusativ,FALSE
abfinden,смириться,etwas akzeptieren,Verb,,mit,Dativ,TRUE
abmühen,мучиться,sehr anstrengen,Verb,,mit,Dativ,TRUE
anfangen,начинать,den Beginn von etwas machen,Verb,,mit,Dativ,FALSE
assoziieren,ассоциировать,gedanklich verbinden,Verb,,mit,Dativ,FALSE
aufhören,прекращать,etwas beenden,Verb,,mit,Dativ,FALSE
auseinandersetzen,разбираться,intensiv beschäftigen,Verb,,mit,Dativ,TRUE
auskennen,разбираться,gute Kenntnisse haben,Verb,,mit,Dativ,TRUE
ausstatten,оснащать,mit etwas versehen,Verb,,mit,Dativ,FALSE
austauschen,обмениваться,Erfahrungen teilen,Verb,,mit,Dativ,TRUE
beauftragen,поручать,jemanden mit einer Aufgabe betrauen,Verb,,mit,Dativ,FALSE
beeindrucken,впечатлять,einen starken Eindruck machen,Verb,,mit,Dativ,FALSE
befassen,заниматься,beschäftigen,Verb,,mit,Dativ,TRUE
beginnen,начинать,den Anfang machen,Verb,,mit,Dativ,FALSE
belohnen,вознаграждать себя,selbst etwas Gutes tun,Verb,,mit,Dativ,TRUE
beschäftigen,заниматься,Zeit mit etwas verbringen,Verb,,mit,Dativ,TRUE
besprechen,обсуждать,über etwas reden,Verb,,mit,Dativ,FALSE
konkurrieren,конкурировать,im Wettbewerb stehen,Verb,,mit,Dativ,FALSE
rechnen,считать,kalkulieren oder erwarten,Verb,,mit,Dativ,FALSE
reden,говорить,unterhalten,Verb,,mit,Dativ,FALSE
schimpfen,ругать,tadeln oder schimpfen,Verb,,mit,Dativ,FALSE
sprechen,говорить,ein Gespräch führen,Verb,,mit,Dativ,FALSE
streiten,ссориться,einen Streit haben,Verb,,mit,Dativ,TRUE
ändern,изменять,etwas anders machen,Verb,,an,Dativ,FALSE
denken,думать,mit dem Verstand arbeiten,Verb,,an,Akkusativ,FALSE
erinnern,вспоминать,etwas nicht vergessen,Verb,,an,Akkusativ,TRUE
gewöhnen,привыкать,an etwas anpassen,Verb,,an,Akkusativ,TRUE
glauben,верить,für wahr halten,Verb,,an,Akkusativ,FALSE
liegen,лежать,an einem Ort befinden,Verb,,an,Dativ,FALSE
richten,направлять,in eine bestimmte Richtung lenken,Verb,,an,Akkusativ,FALSE
teilnehmen,участвовать,dabei sein,Verb,,an,Dativ,FALSE
wenden,обращаться,um Hilfe bitten,Verb,,an,Akkusativ,TRUE
zweifeln,сомневаться,unsicher sein,Verb,,an,Dativ,FALSE
abwälzen,перекладывать,Verantwortung auf andere übertragen,Verb,,auf,Akkusativ,FALSE
achten,обращать внимание,aufmerksam sein,Verb,,auf,Akkusativ,FALSE
ankommen,прибывать,wichtig sein,Verb,,auf,Akkusativ,FALSE
antworten,отвечать,eine Antwort geben,Verb,,auf,Akkusativ,FALSE
aufpassen,быть осторожным,vorsichtig sein,Verb,,auf,Akkusativ,FALSE
auswirken,влиять,Einfluss haben,Verb,,auf,Akkusativ,TRUE
beziehen,относиться,in Verbindung stehen,Verb,,auf,Akkusativ,TRUE
einigen,договариваться,zu einer Übereinkunft kommen,Verb,,auf,Akkusativ,TRUE
einlassen,ввязываться,auf etwas einlassen,Verb,,auf,Akkusativ,TRUE
einstellen,настраиваться,anpassen,Verb,,auf,Akkusativ,TRUE
einstimmen,настраиваться,vorbereiten,Verb,,auf,Akkusativ,TRUE
freuen,радоваться,glücklich sein über etwas Zukünftiges,Verb,,auf,Akkusativ,TRUE
hinweisen,указывать,aufmerksam machen,Verb,,auf,Akkusativ,FALSE
hoffen,надеяться,erwarten dass etwas Gutes passiert,Verb,,auf,Akkusativ,FALSE
kommen,приходить,zu sprechen kommen,Verb,,auf,Akkusativ,FALSE
konzentrieren,концентрироваться,die Aufmerksamkeit richten,Verb,,auf,Akkusativ,TRUE
reagieren,реагировать,auf etwas antworten,Verb,,auf,Akkusativ,FALSE
stellen,ставить,an einen bestimmten Platz setzen,Verb,,auf,Akkusativ,FALSE
verlassen,полагаться,vertrauen,Verb,,auf,Akkusativ,TRUE
verzichten,отказываться,freiwillig auf etwas verzichten,Verb,,auf,Akkusativ,FALSE
vorbereiten,готовиться,für etwas bereit machen,Verb,,auf,Akkusativ,TRUE
warten,ждать,auf jemanden oder etwas warten,Verb,,auf,Akkusativ,FALSE
wirken,действовать,einen Einfluss haben,Verb,,auf,Akkusativ,FALSE
zukommen,приближаться,nähern,Verb,,auf,Akkusativ,FALSE
bestehen,состоять,zusammengesetzt sein,Verb,,aus,Dativ,FALSE
herauskommen,выходить,nach draußen kommen,Verb,,aus,Dativ,FALSE
zurückziehen,отступать,entfernen,Verb,,aus,Dativ,TRUE
zusammensetzen,составляться,aus Teilen bestehen,Verb,,aus,Dativ,TRUE
verweilen,задерживаться,länger an einem Ort bleiben,Verb,,bei,Dativ,FALSE
erstrecken,простираться,über eine Strecke ausdehnen,Verb,,bis,Akkusativ,TRUE
auszeichnen,отличаться,besondere Eigenschaften haben,Verb,,durch,Akkusativ,TRUE
beeindrucken,впечатлять,einen starken Eindruck hinterlassen,Verb,,durch,Akkusativ,FALSE
ersetzen,заменять,an die Stelle von etwas treten,Verb,,durch,Akkusativ,FALSE
ausgeben,тратить,Geld für etwas verwenden,Verb,,für,Akkusativ,FALSE
begeistern,воодушевляться,große Freude empfinden,Verb,,für,Akkusativ,TRUE
einsetzen,заступаться,für jemanden verwenden,Verb,,für,Akkusativ,TRUE
